id;modelo;km;hp;transmision;precio;descripcion;img
1;serve heating;4161;26479;apologise browse;5445.26;absent afore;whenever sham
2;divert ugh;23958;676;bravely brr;2904.23;deceivingly option;even delectable eulogise
3;really;7776;20540;instead aha;18361.08;kit prestigious derby;bah throughout caption
4;wearily;16599;26661;offensively so;2009.85;exactly;headline inwardly please
5;come and;10418;21946;after obscure;29154.12;oh;strictly stark
6;frankly fuss;27595;13665;carefree apropos;18345.31;athwart ick oof;or meh jazz
7;ah from beard;12949;32001;gullible;28674.98;scaffold;ring of sunder
8;violently;4283;31761;gorgeous;30465.97;sate easily unselfish;worse
9;furthermore because;5411;409;into than;9939.8;dilate;pace
10;yuck drat major;12710;14598;kick;11277.07;as;aha substantial
